Text,Sentiment,Timestamp,Platform,Hashtags,Country,Year,Month,Day,Hour
sipping coffee enjoying good book,positive,2023-01-21 08:40:00, Twitter  , #Reading #CoffeeTime                    , India    ,2023,1,21,8
exploring world virtual reality,positive,2023-01-21 13:20:00, Facebook , #VR #VirtualReality                     ,USA,2023,1,21,13
productive day ticking list,positive,2023-01-21 16:45:00, Instagram , #Productivity #WorkFromHome           , USA ,2023,1,21,16
finished challenging workout routine,positive,2023-01-22 09:15:00, Twitter  , #Fitness #ChallengeAccepted             , UK       ,2023,1,22,9
celebrating milestone work,positive,2023-01-22 14:30:00, Facebook , #Career #Milestone                      , Canada  ,2023,1,22,14
sunday brunch friend,positive,2023-01-22 12:00:00, Instagram , #Brunch #Friends                       , UK ,2023,1,22,12
learning new language personal growth,positive,2023-01-23 16:20:00, Facebook , #LanguageLearning #PersonalGrowth       , India     ,2023,1,23,16
quiet evening good book,positive,2023-01-23 19:45:00, Instagram , #Reading #QuietTime                     , Australia ,2023,1,23,19
reflecting importance mental health,positive,2023-01-24 11:30:00, Twitter  , #MentalHealth #SelfCare                 , USA      ,2023,1,24,11
new painting progress,positive,2023-01-24 15:00:00, Facebook , #Art #PaintingInProgress             , Canada ,2023,1,24,15
weekend road trip explore scenic view,positive,2023-01-24 17:30:00, Instagram , #RoadTrip #ScenicViews                  , UK        ,2023,1,24,17
enjoying cup tea watching sunset,positive,2023-01-25 18:00:00, Twitter  , #TeaTime #Sunset                       , India    ,2023,1,25,18
coding new project enthusiasm,positive,2023-01-25 13:15:00, Facebook , #Coding #Enthusiasm                   , USA ,2023,1,25,13
feeling inspired attending workshop,positive,2023-01-26 09:45:00, Instagram , #Inspiration #Workshop                  ,USA,2023,1,26,9
winter sport day local park,positive,2023-01-26 14:20:00, Twitter  , #WinterSports #Fun                     , Canada   ,2023,1,26,14
quality time family weekend,positive,2023-01-26 17:40:00, Facebook , #FamilyTime #Weekend                    , UK        ,2023,1,26,17
attending live music concert tonight,positive,2023-01-27 20:00:00, Instagram , #Music #ConcertNight                  , USA ,2023,1,27,20
practicing mindfulness meditation,positive,2023-01-27 12:30:00, Twitter  , #Mindfulness #Meditation               , India    ,2023,1,27,12
trying new dessert recipe,positive,2023-01-27 16:10:00, Facebook , #Dessert #Cooking                      , Canada ,2023,1,27,16
excited upcoming gaming tournament,positive,2023-01-28 09:00:00, Instagram , #Gaming #Tournament                     ,USA,2023,1,28,9
planning garden makeover spring,positive,2023-01-28 14:45:00, Twitter  , #Gardening #Spring                     , USA      ,2023,1,28,14
celebrating friend birthday tonight,positive,2023-01-28 19:30:00, Facebook , #Birthday #Celebration                  , UK ,2023,1,28,19
feeling accomplished productive day,positive,2023-01-29 17:00:00, Instagram , #Accomplished #Success               , India ,2023,1,29,17
cozy evening good movie,positive,2023-01-29 20:20:00, Twitter  , #CozyNight #MovieTime                   , Canada   ,2023,1,29,20
exploring local art gallery weekend,positive,2023-01-30 11:30:00, Facebook , #Art #GalleryExplore                    , USA      ,2023,1,30,11
new book release favorite author,positive,2023-01-30 15:45:00, Instagram , #BookRelease #FavoriteAuthor           , UK   ,2023,1,30,15
attending virtual reality meetup,positive,2023-01-30 18:30:00, Twitter  , #VRMeetup #VirtualReality               , India    ,2023,1,30,18
reflecting beauty nature,positive,2023-01-31 10:45:00, Facebook , #Nature #Reflection                     , Australia ,2023,1,31,10
cooking special dinner loved one,positive,2023-01-31 19:00:00, Instagram , #Cooking #SpecialDinner                , USA       ,2023,1,31,19
feeling optimistic week ahead,positive,2023-01-31 16:20:00, Twitter  , #Optimism #NewWeek                     , Canada   ,2023,1,31,16
starting new fitness challenge tomorrow,positive,2023-02-01 08:00:00, Facebook , #FitnessChallenge #NewBeginnings       , UK         ,2023,2,1,8
sunday bike ride scenic trail,positive,2023-02-01 13:30:00, Instagram , #BikeRide #ScenicTrails                , USA     ,2023,2,1,13
not believe injustice happening society,negative,2023-02-11 09:30:00, Twitter  , #Injustice #Angry                            , Canada     ,2023,2,11,9
feeling sense fear watching thriller movie,negative,2023-02-11 21:15:00, Instagram , #Fear #ThrillerMovie                         , USA          ,2023,2,11,21
heartbroken hearing news natural disaster,negative,2023-02-12 14:45:00, Facebook , #Sadness #NaturalDisaster                    , India      ,2023,2,12,14
state world environment disgusting,negative,2023-02-12 18:20:00, Twitter  , #Disgust #Environment                        , UK         ,2023,2,12,18
pure happiness celebrating loved one achievement,positive,2023-02-13 10:00:00, Instagram , #Happiness #Celebration                   , USA ,2023,2,13,10
laughter best medicine enjoying comedy show,positive,2023-02-13 19:30:00, Facebook , #Joy #ComedyShow                             , Canada    ,2023,2,13,19
sharing love positive vibe everyone,positive,2023-02-14 08:30:00, Twitter  , #Love #SpreadLove                            , Australia  ,2023,2,14,8
amusing incident brightened day,positive,2023-02-14 14:20:00, Instagram , #Amusement #FunTimes                         , UK           ,2023,2,14,14
enjoying quiet evening book tea,neutral,2023-02-14 19:45:00, Facebook , #Enjoyment #BookTime                         , Canada       ,2023,2,14,19
admiring beauty nature peaceful hike,positive,2023-02-15 11:30:00, Twitter  , #Admiration #Nature                         , USA       ,2023,2,15,11
sending affectionate vibe follower,neutral,2023-02-15 16:00:00, Instagram , #Affection #PositiveVibes                   ,USA,2023,2,15,16
experiencing awe breathtaking sunset,neutral,2023-02-15 20:30:00, Facebook , #Awe #Breathtaking                          , Australia   ,2023,2,15,20
disappointed service local restaurant,neutral,2023-02-16 09:00:00, Twitter  , #Disappointed #BadService                   , India      ,2023,2,16,9
surprise gift friend made day,neutral,2023-02-16 14:45:00, Instagram , #Surprise #Gift                              , USA          ,2023,2,16,14
finding acceptance midst life challenge,positive,2023-02-16 18:20:00, Facebook , #Acceptance #Challenges                     , Canada     ,2023,2,16,18
overflowing adoration adorable pet,neutral,2023-02-17 10:45:00, Twitter  , #Adoration #PetLove                         , UK        ,2023,2,17,10
anticipating thrilling adventure coming week,neutral,2023-02-17 07:30:00, Instagram , #Anticipation #Adventure                    ,USA,2023,2,17,7
bitter experience turned valuable lesson,neutral,2023-02-17 15:00:00, Facebook , #BitterLesson #Growth                      , USA       ,2023,2,17,15
finding calmness midst busy day,neutral,2023-02-18 09:30:00, Twitter  , #Calmness #PeacefulMind                    , India     ,2023,2,18,9
confusion cloud mind navigate decision,neutral,2023-02-18 14:20:00, Instagram , #Confusion #DecisionMaking                 , UK   ,2023,2,18,14
excitement building upcoming vacation,positive,2023-02-18 18:45:00, Facebook , #Excitement #TravelPlans                   , Canada    ,2023,2,18,18
kindness witnessed today restored faith humanity,neutral,2023-02-19 11:30:00, Twitter  , #Kindness #Humanity                        , USA       ,2023,2,19,11
pride achieving personal milestone,positive,2023-02-19 16:00:00, Instagram , #Pride #Milestone                           , Australia    ,2023,2,19,16
moment shame not standing injustice,negative,2023-02-19 19:45:00, Facebook , #Shame #Injustice                           , India      ,2023,2,19,19
fuming anger heated argument,negative,2023-02-20 09:30:00, Twitter  , #Anger #Argument                             , Canada     ,2023,2,20,9
fear unknown keeping night,negative,2023-02-20 21:15:00, Instagram , #Fear #Unknown                               , USA          ,2023,2,20,21
heartfelt sadness bidding farewell dear friend,negative,2023-02-21 14:45:00, Facebook , #Sadness #Farewell                          , India      ,2023,2,21,14
state corruption society utterly disgusting,negative,2023-02-21 18:20:00, Twitter  , #Disgust #Corruption                         , UK         ,2023,2,21,18
overflowing happiness welcoming new family member,positive,2023-02-22 10:00:00, Instagram , #Happiness #NewFamilyMember                 , UK           ,2023,2,22,10
laughter key joy attending stand comedy show,positive,2023-02-22 19:30:00, Facebook , #Joy #StandUpComedy                         , Canada    ,2023,2,22,19
sending love follower beautiful day,positive,2023-02-23 08:30:00, Twitter  , #Love #SpreadLove                            , Australia  ,2023,2,23,8
amused antic pet pure amusement,positive,2023-02-23 14:20:00, Instagram , #Amusement #PetAntics                       , UK           ,2023,2,23,14
enjoying every moment trip pure enjoyment,neutral,2023-02-23 19:45:00, Facebook , #Enjoyment #Travel                           , USA ,2023,2,23,19
admiring dedication volunteer local charity,positive,2023-02-24 11:30:00, Twitter  , #Admiration #Volunteers                     , USA        ,2023,2,24,11
sending affectionate vibe friend family,neutral,2023-02-24 16:00:00, Instagram , #Affection #FamilyLove                      ,USA,2023,2,24,16
awe struck beauty night sky,neutral,2023-02-24 20:30:00, Facebook , #Awe #StarryNight                        , Australia ,2023,2,24,20
disappointed lack progress personal project,neutral,2023-02-25 09:00:00, Twitter  , #Disappointed #Project                     , India      ,2023,2,25,9
surprise visit old friend brought tear joy,neutral,2023-02-25 14:45:00, Instagram , #Surprise #OldFriends                       , USA          ,2023,2,25,14
embracing acceptance life ups down,positive,2023-02-25 18:20:00, Facebook , #Acceptance #LifeJourney                   , Canada     ,2023,2,25,18
overflowing adoration cute rescue puppy,neutral,2023-02-26 10:45:00, Twitter  , #Adoration #PuppyLove                       , UK         ,2023,2,26,10
anticipating release much awaited movie,neutral,2023-02-26 07:30:00, Instagram , #Anticipation #MovieRelease                 , Australia    ,2023,2,26,7
bitter experience customer service department,neutral,2023-02-26 15:00:00, Facebook , #BitterExperience #CustomerService         , USA       ,2023,2,26,15
finding calmness amidst chaos daily life,neutral,2023-02-27 09:30:00, Twitter  , #Calmness #InnerPeace                      , India     ,2023,2,27,9
confusion reign try make sense recent event,neutral,2023-02-27 14:20:00, Instagram , #Confusion #MakingSense                    , UK   ,2023,2,27,14
excitement building surprise birthday party,positive,2023-02-27 18:45:00, Facebook , #Excitement #SurpriseParty                 , Canada ,2023,2,27,18
witnessed act kindness made day,neutral,2023-02-28 11:30:00, Twitter  , #Kindness #ActsOfKindness                  , USA       ,2023,2,28,11
pride completing challenging fitness challenge,positive,2023-02-28 16:00:00, Instagram , #Pride #FitnessChallengeCompleted          , UK            ,2023,2,28,16
moment shame not speaking injustice,negative,2023-02-28 19:45:00, Facebook , #Shame #Injustice                           , India     ,2023,2,28,19
reflecting beauty diversity world,positive,2023-03-01 10:45:00, Twitter  , #Acceptance #Diversity                      , Australia ,2023,3,1,10
excitement quiet evening good book,positive,2023-03-01 13:30:00, Instagram , #Excitement #BookTime                       , USA          ,2023,3,1,13
feeling bitter unfairness workplace,neutral,2023-03-01 17:45:00, Twitter  , #Bitter #Unfairness                         , Canada    ,2023,3,1,17
calmness prevails practice mindfulness,neutral,2023-03-02 18:00:00, Facebook , #Calmness #Mindfulness                      , UK        ,2023,3,2,18
confusion surround navigate life choice,neutral,2023-03-02 13:15:00, Instagram , #Confusion #LifeChoices                     , USA   ,2023,3,2,13
excitement weekend road trip explore new place,positive,2023-03-02 16:45:00, Twitter  , #Excitement #WeekendAdventure               , India     ,2023,3,2,16
kindness witnessed today restores faith humanity,neutral,2023-03-03 11:30:00, Facebook , #Kindness #HumanityRestored                 , USA       ,2023,3,3,11
pride accomplishing personal professional goal,positive,2023-03-03 14:30:00, Instagram , #Pride #Accomplishments                     , Canada ,2023,3,3,14
shame not true value difficult situation,negative,2023-03-03 12:00:00, Twitter  , #Shame #Integrity                           , UK        ,2023,3,3,12
revisiting old memory feeling sense elation,neutral,2010-05-15 15:30:00, Twitter  , #Elation #Memories                             , Canada    ,2010,5,15,15
victory team brought euphoria city,positive,2021-08-10 21:15:00, Instagram , #Euphoria #Victory                             , USA      ,2021,8,10,21
embracing beauty nature moment contentment,positive,2011-06-20 14:45:00, Facebook , #Contentment #Nature                           , India       ,2011,6,20,14
meditating serene lake finding inner peace,positive,2022-02-12 18:20:00, Twitter  , #Serenity #Meditation                          , UK          ,2022,2,12,18
overflowing gratitude life blessing,positive,2012-11-25 10:00:00, Instagram , #Gratitude #Blessed                            , Australia   ,2012,11,25,10
hopeful brighter tomorrow despite challenge,positive,2013-04-05 19:30:00, Facebook , #Hope #Optimism                                , USA      ,2013,4,5,19
empowered make difference community,neutral,2014-09-14 08:30:00, Twitter  , #Empowerment #Community                        , UK       ,2014,9,14,8
compassion action supporting local charity event,neutral,2015-07-18 14:20:00, Instagram , #Compassion #CharityEvent                   , Canada ,2015,7,18,14
moment tenderness connecting loved one,neutral,2016-02-23 19:45:00, Facebook , #Tenderness #FamilyTime                       , UK          ,2016,2,23,19
arousal excitement await special announcement,neutral,2017-10-30 11:30:00, Twitter  , #Arousal #Excitement                           , Australia ,2017,10,30,11
enthusiastically diving new project,positive,2018-06-15 16:00:00, Instagram , #Enthusiasm #NewProject                       , USA  ,2018,6,15,16
feeling sense fulfillment reaching milestone,neutral,2019-03-28 18:20:00, Facebook , #Fulfillment #Milestone                       , India     ,2019,3,28,18
reverence beauty historic landmark,neutral,2019-11-11 15:00:00, Twitter  , #Reverence #History                           , UK      ,2019,11,11,15
elation surprise reunion old friend,neutral,2020-04-02 09:30:00, Instagram , #Elation #OldFriends                          , Canada      ,2020,4,2,9
euphoria live music concert star,positive,2021-06-19 14:45:00, Facebook , #Euphoria #LiveMusic                          , USA ,2021,6,19,14
contentment simplicity quiet sunday,positive,2010-08-15 10:00:00, Twitter  , #Contentment #SundayMood                      , Australia ,2010,8,15,10
serenity found page favorite book,positive,2011-09-22 19:30:00, Instagram , #Serenity #BookTime                           , UK          ,2011,9,22,19
gratitude support received tough time,positive,2012-03-10 08:30:00, Facebook , #Gratitude #Supportive                        , India     ,2012,3,10,8
hopeful possibility new journey,positive,2013-12-05 16:00:00, Twitter  , #Hope #NewBeginnings                          , Canada    ,2013,12,5,16
empowerment learning personal growth,neutral,2014-07-20 11:30:00, Instagram , #Empowerment #PersonalGrowth                  ,USA,2014,7,20,11
compassion towards need holiday,neutral,2015-12-22 14:20:00, Facebook , #Compassion #HolidaySupport                   , USA      ,2015,12,22,14
tenderness warmth cozy winter evening,neutral,2016-02-10 19:45:00, Twitter  , #Tenderness #CozyEvening                     , UK       ,2016,2,10,19
arousal excitement upcoming adventure,neutral,2017-04-30 11:30:00, Instagram , #Arousal #AdventureTime                       , Australia ,2017,4,30,11
enthusiasm creative project making,positive,2018-09-15 16:00:00, Facebook , #Enthusiasm #Creativity                       , Canada    ,2018,9,15,16
fulfillment completing challenging workout routine,neutral,2019-06-28 18:20:00, Twitter  , #Fulfillment #FitnessGoals                   , India     ,2019,6,28,18
reverence artistry displayed museum,neutral,2020-11-11 15:00:00, Instagram , #Reverence #ArtAppreciation                  , UK        ,2020,11,11,15
elation achieving personal goal,neutral,2021-03-02 09:30:00, Facebook , #Elation #PersonalAchievement                , USA      ,2021,3,2,9
elation discovering hidden gem city,neutral,2012-02-18 14:30:00, Twitter  , #Elation #HiddenGem                            , USA      ,2012,2,18,14
euphoria surprise birthday celebration,positive,2018-11-05 21:45:00, Instagram , #Euphoria #BirthdaySurprise                   , UK   ,2018,11,5,21
contentment simplicity home cooked meal,positive,2015-09-12 13:20:00, Facebook , #Contentment #HomeCooking                     , India    ,2015,9,12,13
serenity found melody peaceful piano,positive,2016-07-30 18:10:00, Twitter  , #Serenity #PeacefulMelody                    , Canada      ,2016,7,30,18
gratitude supportive community around,positive,2013-04-20 10:30:00, Instagram , #Gratitude #CommunitySupport                   , USA ,2013,4,20,10
hopeful prospect new business venture,positive,2017-12-08 19:15:00, Facebook , #Hope #BusinessVenture                        , Canada    ,2017,12,8,19
empowerment mentoring guiding others,neutral,2014-06-03 08:20:00, Twitter  , #Empowerment #Mentorship                      , UK       ,2014,6,3,8
compassion shown act kindness community,neutral,2019-01-15 14:50:00, Instagram , #Compassion #CommunityKindness               , Australia ,2019,1,15,14
tenderness heartfelt message loved one,neutral,2016-12-25 19:30:00, Facebook , #Tenderness #LoveNote                         , UK          ,2016,12,25,19
arousal excitement much awaited trip,neutral,2018-03-10 09:45:00, Twitter  , #Arousal #TravelAdventure                     , India    ,2018,3,10,9
enthusiasm new artistic project work,positive,2020-09-17 16:30:00, Instagram , #Enthusiasm #ArtisticProject                 , USA       ,2020,9,17,16
feeling sense fulfillment helping others,neutral,2011-08-28 18:45:00, Facebook , #Fulfillment #HelpingOthers                  , Canada    ,2011,8,28,18
reverence historical significance landmark,neutral,2017-11-01 15:30:00, Twitter  , #Reverence #HistoricalSite                   , Australia ,2017,11,1,15
elation achieving fitness milestone,neutral,2019-06-15 10:00:00, Instagram , #Elation #FitnessMilestone                   , UK           ,2019,6,15,10
euphoria successful product launch,positive,2022-04-03 11:45:00, Facebook , #Euphoria #ProductLaunchSuccess              , USA       ,2022,4,3,11
contentment embrace loved one,positive,2010-11-12 20:20:00, Twitter  , #Contentment #Love                             , India    ,2010,11,12,20
serenity found beauty sunset sea,positive,2011-07-22 18:30:00, Instagram , #Serenity #SunsetViews                       , Canada     ,2011,7,22,18
gratitude small joy day brings,positive,2012-03-30 11:20:00, Facebook , #Gratitude #SmallJoys                        , Australia   ,2012,3,30,11
hopeful potential personal growth,positive,2013-10-05 16:40:00, Twitter  , #Hope #PersonalDevelopment                    , UK       ,2013,10,5,16
empowerment learning new skill,neutral,2014-07-10 13:15:00, Instagram , #Empowerment #SkillBuilding                   , India   ,2014,7,10,13
compassion volunteering local charity,neutral,2015-12-18 14:20:00, Facebook , #Compassion #VolunteerWork                   , USA      ,2015,12,18,14
tenderness quiet moment shared pet,neutral,2016-02-10 19:45:00, Twitter  , #Tenderness #PetLove                          , Canada   ,2016,2,10,19
arousal excitement upcoming festival,neutral,2017-09-25 11:30:00, Instagram , #Arousal #FestivalExcitement               , UK ,2017,9,25,11
enthusiasm diy home improvement project,positive,2018-04-15 16:00:00, Facebook , #Enthusiasm #HomeImprovement                 , Australia   ,2018,4,15,16
fulfillment completing challenging puzzle,neutral,2019-11-28 18:20:00, Twitter  , #Fulfillment #PuzzleChallenge                , India    ,2019,11,28,18
reverence wonder nature hiking trail,neutral,2020-05-11 15:00:00, Instagram , #Reverence #NatureExploration                , USA        ,2020,5,11,15
elation surprise reunion childhood friend,neutral,2021-02-05 09:30:00, Facebook , #Elation #FriendshipReunion                  , Canada      ,2021,2,5,9
suffering despair another setback,negative,2021-03-10 08:30:00, Twitter  , #Despair #Struggle                              , USA          ,2021,3,10,8
overwhelmed grief missing loved one dearly,negative,2022-07-05 15:45:00, Instagram , #Grief #Loss                                   , Canada          ,2022,7,5,15
loneliness creep night grows colder,negative,2019-11-18 21:20:00, Facebook , #Loneliness #Isolation                         , UK           ,2019,11,18,21
jealousy consumes witness others success,negative,2020-08-12 11:30:00, Twitter  , #Jealousy #Envy                               , India        ,2020,8,12,11
resentment building past betrayal,neutral,2018-05-22 14:45:00, Instagram , #Resentment #Bitterness                       , Australia     ,2018,5,22,14
frustration mount obstacle block path,negative,2017-01-30 16:10:00, Facebook , #Frustration #Obstacles                       , USA          ,2017,1,30,16
boredom set day feel endlessly dull,negative,2016-09-28 19:45:00, Twitter  , #Boredom #LackOfInterest                     , Canada        ,2016,9,28,19
anxiety grip heart worry cloud thought,negative,2019-04-15 09:00:00, Instagram , #Anxiety #Worry                               , UK           ,2019,4,15,9
intimidation unknown future ahead,neutral,2021-12-03 18:30:00, Facebook , #Intimidation #Fear                           , India        ,2021,12,3,18
helplessness sink challenge pile,neutral,2020-06-20 14:20:00, Twitter  , #Helplessness #Overwhelmed                    , Australia    ,2020,6,20,14
envy eats away see others prosperity,neutral,2018-11-07 11:30:00, Instagram , #Envy #Desire                                , Canada        ,2018,11,7,11
regret missed opportunity haunt thought,negative,2017-08-25 16:00:00, Facebook , #Regret #MissedChances                       , UK           ,2017,8,25,16
disgust sight injustice cruelty,negative,2019-02-11 09:45:00, Twitter  , #Disgust #Injustice                          , India        ,2019,2,11,9
drowning despair hope slipping finger,negative,2016-04-02 20:20:00, Instagram , #Despair #Hopeless                           , USA          ,2016,4,2,20
grief weighs heavy tear constant companion,negative,2015-10-18 15:30:00, Facebook , #Grief #Tears                                , Canada        ,2015,10,18,15
loneliness crowded room silent cry connection,negative,2019-07-12 18:10:00, Twitter  , #Loneliness #SeekingConnection              , UK            ,2019,7,12,18
jealousy gnaws confidence toxic emotion,negative,2018-06-03 16:30:00, Instagram , #Jealousy #Insecurity                       , India         ,2018,6,3,16
resentment fester poisoning relationship,neutral,2022-01-15 12:00:00, Facebook , #Resentment #BrokenTrust                     , Australia    ,2022,1,15,12
frustration boil volcanic eruption emotion,negative,2017-04-10 14:45:00, Twitter  , #Frustration #EmotionalOutburst             , USA          ,2017,4,10,14
boredom settle like dust life feel mundane,negative,2016-11-28 19:00:00, Instagram , #Boredom #Monotony                          , Canada        ,2016,11,28,19
anxiety grip chest relentless grip thought,negative,2018-09-05 09:30:00, Facebook , #Anxiety #Restlessness                      , UK            ,2018,9,5,9
intimidation challenge ahead fear take hold,neutral,2021-10-22 18:30:00, Twitter  , #Intimidation #FacingFear                   , India         ,2021,10,22,18
helplessness engulfs drowning sea problem,neutral,2019-05-08 14:20:00, Instagram , #Helplessness #Struggling                   , Australia    ,2019,5,8,14
envy poison thought coveting others success,neutral,2017-03-20 11:30:00, Facebook , #Envy #Success                              , Canada        ,2017,3,20,11
regret decision led painful present,negative,2018-12-15 16:00:00, Twitter  , #Regret #PastChoices                        , USA          ,2018,12,15,16
disgust corruption stain society,negative,2016-07-01 09:45:00, Instagram , #Disgust #Corruption                        , UK            ,2016,7,1,9
sinking despair day darker last,negative,2020-08-20 20:20:00, Facebook , #Despair #DarkDays                          , India         ,2020,8,20,20
grief overwhelms storm emotion within,negative,2021-02-25 15:30:00, Twitter  , #Grief #EmotionalStorm                      , Canada        ,2021,2,25,15
loneliness echo empty space yearning connection,negative,2019-09-12 18:10:00, Instagram , #Loneliness #YearningForConnection         , Australia     ,2019,9,12,18
jealousy poison thought resentment brewing within,negative,2018-08-05 16:30:00, Facebook , #Jealousy #Resentment                       , USA           ,2018,8,5,16
resentment fester wound refuse heal,neutral,2017-01-12 12:00:00, Twitter  , #Resentment #Unforgiving                    , India         ,2017,1,12,12
frustration escalates thunderstorm emotion,negative,2022-04-05 14:45:00, Instagram , #Frustration #EmotionalOutburst            , UK            ,2022,4,5,14
boredom lingers stagnant pool indifference,negative,2021-10-02 19:00:00, Facebook , #Boredom #Stagnation                        , Canada        ,2021,10,2,19
embarking journey discovery fueled curiosity thirst knowledge,neutral,2023-04-15 10:15:00, Twitter  , #Curiosity #Learning                        , USA          ,2023,4,15,10
lost vast sea information indifferent wave digital ocean,neutral,2022-11-28 17:30:00, Instagram , #Indifference #DigitalOverload              , Canada          ,2022,11,28,17
complex puzzle life leaf state perpetual confusion seeking answer chaos,neutral,2020-04-02 09:45:00, Facebook , #Confusion #LifePuzzle                     , UK           ,2020,4,2,9
numbness settle shield overwhelming emotion life throw way,negative,2021-08-10 14:00:00, Twitter  , #Numbness #EmotionalShield                 , India        ,2021,8,10,14
gazing sunset melancholic longing moment slip finger time,negative,2019-06-18 20:45:00, Instagram , #Melancholy #SunsetMoments                 , Australia     ,2019,6,18,20
revisiting old photograph caught embrace nostalgia bittersweet symphony,neutral,2018-02-05 15:15:00, Facebook , #Nostalgia #MemoryLane                     , USA          ,2018,2,5,15
torn conflicting emotion ambivalence paint decision shade uncertainty,neutral,2022-05-30 11:30:00, Twitter  , #Ambivalence #UncertainChoices             , Canada        ,2022,5,30,11
embracing ebb flow life finding acceptance dance existence,positive,2023-01-10 16:20:00, Instagram , #Acceptance #LifeJourney                   , UK           ,2023,1,10,16
facing challenge head determination fuel fire within achieve impossible,positive,2020-09-18 13:45:00, Facebook , #Determination #AchieveTheImpossible       , India        ,2020,9,18,13
serenity found stillness nature tranquil retreat chaos modern world,positive,2021-07-03 19:00:00, Twitter  , #Serenity #NatureRetreat                   , Australia    ,2021,7,3,19
curiosity leading rabbit hole knowledge perpetual student life classroom,neutral,2022-10-08 08:15:00, Instagram , #Curiosity #KnowledgeQuest                , USA          ,2022,10,8,8
floating day air indifference detached mundane happening around,neutral,2023-03-22 16:30:00, Facebook , #Indifference #FloatingThroughLife        , Canada        ,2023,3,22,16
entangled web thought confusion reigning navigate labyrinth idea,neutral,2021-05-15 11:45:00, Twitter  , #Confusion #ThoughtLabyrinth              , UK            ,2021,5,15,11
numb chaos emotion locked away stoic facade concealing inner turmoil,negative,2019-12-28 14:30:00, Instagram , #Numbness #StoicFacade                    , Australia     ,2019,12,28,14
melancholy whisper breeze silent conversation echo forgotten dream,negative,2020-03-01 19:00:00, Facebook , #Melancholy #WhispersInTheBreeze         , India         ,2020,3,1,19
stumbling upon old journal nostalgia flooding wave carrying moment long gone,neutral,2018-07-10 15:45:00, Twitter  , #Nostalgia #JournalMoments               , Canada        ,2018,7,10,15
tapestry conflicting feeling weaving uncertainty caught thread ambivalence,neutral,2022-01-05 10:30:00, Instagram , #Ambivalence #ConflictingFeelings        , UK            ,2022,1,5,10
embracing flaw finding acceptance imperfection journey towards self love,positive,2021-08-20 16:20:00, Facebook , #Acceptance #SelfLoveJourney              , Australia    ,2021,8,20,16
determination burning like wildfire overcoming obstacle turning dream reality,positive,2019-11-03 13:45:00, Twitter  , #Determination #DreamsIntoReality        , USA          ,2019,11,3,13
tranquil moment ocean serenity washing peaceful retreat within wave embrace,positive,2020-04-12 19:30:00, Instagram , #Serenity #OceanRetreat                   , Canada        ,2020,4,12,19
exploring new horizon spark curiosity adventurer vast landscape knowledge,neutral,2022-04-15 08:45:00, Facebook , #Curiosity #NewHorizons                  , India         ,2022,4,15,8
drifting day nonchalant demeanor embracing art indifference,neutral,2023-02-10 17:00:00, Twitter  , #Indifference #DriftingThroughLife       , UK            ,2023,2,10,17
